"lake","year","doy","ZID","depth","depth.rounded","manual.chl"
"R",2022,199,3,1.3,1.25,33.0514042153316
"R",2022,199,4,2.3,2.25,57.5087601282183
"R",2022,199,5,3.2,3.25,53.3546926225506
"R",2022,199,6,4.2,4.25,954.328617015905
"L",2022,200,1,0,0,36.2894583556074
"L",2022,200,2,0.75,0.75,40.3220988310148
"L",2022,200,3,1.7,1.75,40.5646658299982
"L",2022,200,4,3.1,3,63.9067876706357
"L",2022,200,5,3.8,3.75,59.8417092415181
"L",2022,200,6,5.4,5.5,99.4452930447749
"T",2022,201,1,0,0,49.7512091453447
"T",2022,201,2,0.65,0.75,53.7663388669793
"T",2022,201,3,1.3,1.25,52.3195487191964
"T",2022,201,4,2.2,2.25,53.243025684557
"T",2022,201,5,2.6,2.5,61.1314767284205
"T",2022,201,6,4,4,117.242534231727
"R",2022,206,1,0,0,35.8295857729193
"R",2022,206,2,0.55,0.5,27.7200973453668
"R",2022,206,3,1.2,1.25,39.3420707428143
"R",2022,206,4,2.3,2.25,36.4407397857427
"R",2022,206,5,3.3,3.25,51.6277304144035
"R",2022,206,6,4.9,5,1442.03583460275
"L",2022,207,1,0,0,46.173561206492
"L",2022,207,2,0.85,0.75,41.7711854710957
"L",2022,207,3,1.5,1.5,41.6377018562705
"L",2022,207,4,2.4,2.5,42.422241037598
"L",2022,207,5,3.4,3.5,40.3832429384509
"L",2022,207,6,5.3,5.25,135.123310326022
"T",2022,208,1,0,0,53.2476186691532
"T",2022,208,2,0.45,0.5,72.7017790491615
"T",2022,208,3,1.1,1,70.6673739346106
"T",2022,208,4,1.8,1.75,55.5923373054806
"T",2022,208,5,2.3,2.25,44.8628382273697
"T",2022,208,6,3.3,3.25,49.0645579482224
"R",2022,213,1,0,0,14.9185306790166
"R",2022,213,2,0.45,0.5,14.2009026714088
"R",2022,213,3,1.2,1.25,17.7560535975865
"R",2022,213,4,2.2,2.25,15.9909523935992
"R",2022,213,5,3.2,3.25,18.5879808974846
"R",2022,213,6,4,4,41.2534125763426
"L",2022,214,1,0,0,31.452511641417
"L",2022,214,2,0.8,0.75,30.8053629824368
"L",2022,214,3,1.7,1.75,29.050119471639
"L",2022,214,4,2.7,2.75,35.8301857315322
"L",2022,214,5,3.7,3.75,40.5732719348853
"L",2022,214,6,5.9,6,235.339139690337
"T",2022,215,1,0,0,35.5621908215784
"T",2022,215,2,0.45,0.5,35.3206285379754
"T",2022,215,3,1.1,1,42.4037628864446
"T",2022,215,4,2,2,18.9425162490757
"T",2022,215,5,2.4,2.5,18.5798627972109
"T",2022,215,6,3.4,3.5,31.6957216582439
"T",2022,219,1,0,0,44.9251305809548
"T",2022,219,2,0.6,0.5,50.174624912801
"T",2022,219,3,1.2,1.25,42.7922633591242
"T",2022,219,4,2.1,2,31.2033020384614
"T",2022,219,5,2.7,2.75,37.1190661982845
"T",2022,219,6,3.7,3.75,57.2265786370932
