"lake","year","doy","ZID","depth","depth.rounded","manual.chl"
"R",2022,199,2,0.65,0.75,9.44420430208381
"R",2022,199,3,1.3,1.25,9.87377665336749
"R",2022,199,4,2.3,2.25,17.1666384106213
"R",2022,199,5,3.2,3.25,16.001614940838
"R",2022,199,6,4.2,4.25,251.537236801272
"L",2022,200,1,0,0,10.0291561773052
"L",2022,200,2,0.75,0.75,11.2407576198532
"L",2022,200,3,1.7,1.75,11.7520029033499
"L",2022,200,4,3.1,3,14.6181271427099
"L",2022,200,5,3.8,3.75,16.044819778441
"L",2022,200,6,5.4,5.5,28.9871087808703
"T",2022,201,1,0,0,14.3675462614958
"T",2022,201,2,0.65,0.75,15.8032100013804
"T",2022,201,3,1.3,1.25,15.5306678571986
"T",2022,201,4,2.2,2.25,16.2716451758568
"T",2022,201,5,2.6,2.5,20.1328442879173
"T",2022,201,6,4,4,40.0353465055906
"R",2022,206,1,0,0,10.9130252429195
"R",2022,206,2,0.55,0.5,9.47915572386564
"R",2022,206,3,1.2,1.25,12.074962652874
"R",2022,206,4,2.3,2.25,11.6362397753538
"R",2022,206,5,3.3,3.25,16.6806916408374
"R",2022,206,6,4.9,5,371.751862562717
"L",2022,207,1,0,0,13.7236004053614
"L",2022,207,2,0.85,0.75,12.5476680729275
"L",2022,207,3,1.5,1.5,13.168755555679
"L",2022,207,4,2.4,2.5,13.4634383849114
"L",2022,207,5,3.4,3.5,16.3187972992873
"L",2022,207,6,5.3,5.25,41.9907960201259
"T",2022,208,1,0,0,16.3482942897438
"T",2022,208,2,0.45,0.5,21.2428928314482
"T",2022,208,3,1.1,1,20.5374052008211
"T",2022,208,4,1.8,1.75,17.3981646666135
"T",2022,208,5,2.3,2.25,14.7338185018728
"T",2022,208,6,3.3,3.25,15.8121811055338
"R",2022,213,1,0,0,5.70254910015387
"R",2022,213,2,0.45,0.5,4.97472449671716
"R",2022,213,3,1.2,1.25,5.57975262650147
"R",2022,213,4,2.2,2.25,5.27737940794453
"R",2022,213,5,3.2,3.25,6.54306943165451
"R",2022,213,6,4,4,13.2811110994734
"L",2022,214,1,0,0,11.1962394126022
"L",2022,214,2,0.8,0.75,10.1390313902233
"L",2022,214,3,1.7,1.75,10.5142869354554
"L",2022,214,4,2.7,2.75,12.3998906626494
"L",2022,214,5,3.7,3.75,14.778282882499
"L",2022,214,6,5.9,6,75.5108845934701
"T",2022,215,1,0,0,10.8390757136943
"T",2022,215,2,0.45,0.5,9.78351729794716
"T",2022,215,3,1.1,1,11.9932046745936
"T",2022,215,4,2,2,7.9237657810142
"T",2022,215,5,2.4,2.5,7.70507538084478
"T",2022,215,6,3.4,3.5,12.2131574885395
"T",2022,219,1,0,0,14.8106829222595
"T",2022,219,2,0.6,0.5,16.6943994879839
"T",2022,219,3,1.2,1.25,15.2387122436288
"T",2022,219,4,2.1,2,12.9444779518428
"T",2022,219,5,2.7,2.75,14.4610251667748
"T",2022,219,6,3.7,3.75,22.4604869715708
"L",2022,220,1,0,0,11.8834834058228
"L",2022,220,2,0.9,1,14.8514117351162
"L",2022,220,3,1.7,1.75,14.2185541637154
"L",2022,220,4,3.1,3,17.6892949386012
"L",2022,220,5,4,4,19.1291212708129
"L",2022,220,6,6,6,250.594481407995
"R",2022,220,1,0,0,6.73471554124295
"R",2022,220,2,0.7,0.75,5.86893222160203
"R",2022,220,3,1.6,1.5,6.63039954214666
"R",2022,220,4,3,3,9.02898571744564
"R",2022,220,5,3.5,3.5,10.3942083475173
"R",2022,220,6,4.7,4.75,102.092528874065
"L",2024,142,1,0,0,9.06432378273497
"L",2024,142,2,0.7,0.75,10.8738720836245
"L",2024,142,3,1.75,1.75,11.660212147829
"L",2024,142,4,4.1,4,13.3065626563461
"L",2024,142,5,5.2,5.25,37.0579616358255
"L",2024,142,6,6.7,6.75,358.898450430549
"L",2024,149,1,0,0,9.37816903977278
"L",2024,149,2,1.1,1,9.65485783926263
"L",2024,149,3,1.9,2,11.9621409057113
"L",2024,149,4,3.6,3.5,12.9707449664021
"L",2024,149,5,4.7,4.75,37.9589315089955
"L",2024,149,6,5.9,6,65.1095173141021
"L",2024,156,1,0,0,6.04154579366008
"L",2024,156,2,0.95,1,8.22986672851608
"L",2024,156,3,2.1,2,8.84932443657035
"L",2024,156,4,3.7,3.75,12.7143221383335
"L",2024,156,5,4.9,5,29.1240057765264
"L",2024,156,6,6.8,6.75,141.755165259986
"L",2024,163,1,0,0,7.12409796977222
"L",2024,163,2,1.1,1,6.88396227180529
"L",2024,163,3,2.3,2.25,7.09801000449895
"L",2024,163,4,4,4,14.9838349434858
"L",2024,163,5,5.3,5.25,23.7921398767894
"L",2024,163,6,7.4,7.5,335.821901247184
"L",2024,169,1,0,0,8.40981222146242
"L",2024,169,2,0.9,1,10.5714035267011
"L",2024,169,3,2.2,2.25,10.2591872438665
"L",2024,169,4,3.5,3.5,11.8180189149387
"L",2024,169,5,4.7,4.75,21.7536262355105
"L",2024,169,6,6.7,6.75,73.8404899402537
"L",2024,177,1,0,0,12.3271173209579
"L",2024,177,2,1.1,1,11.6577299428833
"L",2024,177,3,2,2,11.2048577015065
"L",2024,177,4,3.4,3.5,13.0444789034942
"L",2024,177,5,4.6,4.5,22.4102935103733
"L",2024,177,6,6.6,6.5,311.259546496579
"L",2024,184,1,0,0,12.1386421325176
"L",2024,184,2,0.65,0.75,12.5460441404688
"L",2024,184,3,1.9,2,12.2639643157163
"L",2024,184,4,3.5,3.5,11.8606499795364
"L",2024,184,5,4.9,5,15.0016718192218
"L",2024,184,6,6.1,6,41.5001246614114
"L",2024,191,1,0,0,12.1907283867718
"L",2024,191,2,0.9,1,12.8648877624991
"L",2024,191,3,1.9,2,11.8984184995456
"L",2024,191,4,3.2,3.25,13.4907429598348
"L",2024,191,5,4.4,4.5,17.3244575658753
"L",2024,191,6,6.6,6.5,218.502553136118
"L",2024,198,1,0,0,12.3271268980377
"L",2024,198,2,1,1,12.0916482727662
"L",2024,198,3,2,2,12.8252255926278
"L",2024,198,4,3.5,3.5,12.9076859906708
"L",2024,198,5,4.8,4.75,15.6469484636724
"L",2024,198,6,6.9,7,187.717183472581
"L",2024,205,1,0,0,10.8850981623935
