Date,Time,Temp [°C],Temp [°F],Temp [°K],pH [Units],ORP [mV],SpCond [mS/cm],SpCond [µS/cm],Res [kO-cm],Sal [ppt],TDS [g/l],pHVolts [mV],LDO% [Sat],LDO [mg/l],BP [mmHg],CHL [µg/l],CHLV [Volts],PCY [cell/mL],PCYV [Volts],IBatt [Volts],EBatt [Volts],IBatt [%Left],EBatt [%Left],Circ [Status],Date / Time,lake,depth,
6/13/2024,13:24:50,21.37,70.5,294.5,8.19,-293,0.9,891,1,0.46,0.6,-41.1,99.2,8.66,752,0,0.0064,0,0.0034,6.9,0,7,0,1,6/13/2024 13:24:50,,,
6/13/2024,13:25:20,21.38,70.5,294.5,8.19,-281,0.9,890,1,0.46,0.6,-41.1,99.1,8.65,752,0,0.0065,0,0.0034,7,0,7,0,1,6/13/2024 13:25:20,,,
6/13/2024,13:25:50,21.39,70.5,294.5,8.19,-270,0.9,889,1,0.46,0.6,-41.2,99.2,8.66,752,0,0.0063,0,0.0033,7,0,7,0,1,6/13/2024 13:25:50,,,
6/13/2024,13:26:20,21.39,70.5,294.5,8.19,-259,0.9,890,1,0.46,0.6,-41.1,99.4,8.68,752,0,0.0064,0,0.0034,6.9,0,7,0,1,6/13/2024 13:26:20,,,
6/13/2024,13:26:50,21.39,70.5,294.6,8.19,-249,0.9,889,1,0.46,0.6,-41.2,100,8.73,752,0,0.0064,0,0.0034,6.9,0,6,0,1,6/13/2024 13:26:50,,,
6/13/2024,13:27:20,21.4,70.5,294.6,8.19,-240,0.9,890,1,0.46,0.6,-41.2,99.7,8.7,752,0,0.0062,0,0.0034,6.9,0,6,0,1,6/13/2024 13:27:20,,,
6/13/2024,13:27:50,21.38,70.5,294.5,8.19,-232,0.9,892,1,0.46,0.6,-41.2,100.7,8.79,752,0,0.0061,0,0.0034,6.9,0,6,0,1,6/13/2024 13:27:50,,,
6/13/2024,13:28:20,21.37,70.5,294.5,8.19,-224,0.9,892,1,0.46,0.6,-41.2,99.7,8.71,752,0,0.006,0,0.0033,6.9,0,6,0,1,6/13/2024 13:28:20,,,
6/13/2024,13:28:50,21.4,70.5,294.6,8.19,-216,0.9,890,1,0.46,0.6,-41.1,99.6,8.69,752,0,0.0061,0,0.0034,6.9,0,7,0,1,6/13/2024 13:28:50,,,
6/13/2024,13:29:20,21.4,70.5,294.6,8.19,-209,0.9,890,1,0.46,0.6,-41.1,99.8,8.71,752,0,0.0062,0,0.0034,6.9,0,6,0,1,6/13/2024 13:29:20,,,
6/13/2024,13:29:50,21.4,70.5,294.6,8.19,-203,0.9,890,1,0.46,0.6,-41.2,100.3,8.75,752,0,0.0061,0,0.0033,6.9,0,6,0,1,6/13/2024 13:29:50,,,
