Lake,Date,DOY,Year,Depth,IrradianceWater_uEinst_m2_s,IrradianceDeck_uEinst_m2_s,water_over_deck,Percent_surface_irradiance
L,7/23/2024,205,2024,3.5,28,187,0.14973262,0.150346279
L,7/23/2024,205,2024,4,24,197,0.121827411,0.122326704
L,7/23/2024,205,2024,4.5,22,204,0.107843137,0.108285117
L,7/23/2024,205,2024,5,16,211,0.075829384,0.07614016
L,7/23/2024,205,2024,5.5,12,213,0.056338028,0.056568922
L,7/23/2024,205,2024,6,9,220,0.040909091,0.041076751
L,7/23/2024,205,2024,6.5,7,223,0.031390135,0.031518783
L,7/23/2024,205,2024,7,2.3,216,0.010648148,0.010691788
L,7/23/2024,205,2024,8,1.1,219,0.005022831,0.005043416
T,7/24/2024,206,2024,0,548,415,1.320481928,1
T,7/24/2024,206,2024,0.25,1093,1364,0.801319648,0.606838785
T,7/24/2024,206,2024,0.5,697,1353,0.515151515,0.390123866
T,7/24/2024,206,2024,0.75,520,1360,0.382352941,0.289555603
T,7/24/2024,206,2024,1,122,489,0.249488753,0.18893765
T,7/24/2024,206,2024,1.5,67,449,0.14922049,0.113004568
T,7/24/2024,206,2024,2,41,535,0.076635514,0.058036019
T,7/24/2024,206,2024,2.5,38,1265,0.030039526,0.022748911
T,7/24/2024,206,2024,3,18,1446,0.012448133,0.009426962
T,7/24/2024,206,2024,3.5,10,1514,0.00660502,0.005001977
T,7/24/2024,206,2024,4,2.2,1597,0.001377583,0.001043243
T,7/24/2024,206,2024,4.5,1.1,1595,0.000689655,0.000522275
R,7/29/2024,211,2024,0,843,698,1.20773639,1
R,7/29/2024,211,2024,0.25,600,765,0.784313725,0.649408043
R,7/29/2024,211,2024,0.5,491,879,0.558589306,0.462509295
R,7/29/2024,211,2024,0.75,329,829,0.396863691,0.328601253
R,7/29/2024,211,2024,1,150,516,0.290697674,0.240696295
R,7/29/2024,211,2024,1.5,77,476,0.161764706,0.133940409
R,7/29/2024,211,2024,2,35,466,0.075107296,0.062188485
R,7/29/2024,211,2024,2.5,18,423,0.042553191,0.035233841
R,7/29/2024,211,2024,3,11,421,0.026128266,0.02163408
R,7/29/2024,211,2024,3.5,8,412,0.019417476,0.016077578
R,7/29/2024,211,2024,4,5,409,0.012224939,0.010122191
R,7/29/2024,211,2024,4.5,2,397,0.005037783,0.004171261
L,7/30/2024,212,2024,0,1048,827,1.267230955,1
L,7/30/2024,212,2024,0.25,841,825,1.019393939,0.804426324
L,7/30/2024,212,2024,0.5,704,828,0.850241546,0.670944426
L,7/30/2024,212,2024,0.75,605,831,0.728038508,0.574511303
L,7/30/2024,212,2024,1,477,820,0.581707317,0.459038121
L,7/30/2024,212,2024,1.5,352,737,0.47761194,0.376894155
L,7/30/2024,212,2024,2,254,702,0.361823362,0.285522825
L,7/30/2024,212,2024,2.5,181,722,0.250692521,0.197827018
L,7/30/2024,212,2024,3,130,712,0.18258427,0.144081289
L,7/30/2024,212,2024,3.5,99,733,0.135061392,0.106579934
L,7/30/2024,212,2024,4,72,724,0.099447514,0.078476235
L,7/30/2024,212,2024,4.5,54,749,0.072096128,0.056892651
L,7/30/2024,212,2024,5,40,766,0.052219321,0.041207422
L,7/30/2024,212,2024,5.5,31,765,0.040522876,0.031977498
L,7/30/2024,212,2024,6,10,756,0.013227513,0.010438124
L,7/30/2024,212,2024,6.5,6,726,0.008264463,0.006521671
T,7/31/2024,213,2024,0,1210,967,1.251292658,1
T,7/31/2024,213,2024,0.25,770,971,0.79299691,0.633742159
T,7/31/2024,213,2024,0.5,510,933,0.546623794,0.43684728
T,7/31/2024,213,2024,0.75,360,925,0.389189189,0.311029707
T,7/31/2024,213,2024,1,230,942,0.244161359,0.195127301
T,7/31/2024,213,2024,1.5,123,962,0.127858628,0.102181234
T,7/31/2024,213,2024,2,58,923,0.06283857,0.050218923
T,7/31/2024,213,2024,2.5,23,903,0.025470653,0.020355473
T,7/31/2024,213,2024,3,6,922,0.006507592,0.005200696
T,7/31/2024,213,2024,3.5,3,901,0.003329634,0.002660955
R,8/5/2024,218,2024,0,809,592,1.366554054,1
R,8/5/2024,218,2024,0.25,750,681,1.101321586,0.80591147
R,8/5/2024,218,2024,0.5,293,465,0.630107527,0.461092282
R,8/5/2024,218,2024,0.75,179,403,0.444168734,0.325028295
R,8/5/2024,218,2024,1,129,369,0.349593496,0.255821199
R,8/5/2024,218,2024,1.5,48.47,420,0.115404762,0.084449467
R,8/5/2024,218,2024,2,19.61,363,0.054022039,0.039531578
R,8/5/2024,218,2024,2.5,10.37,351,0.02954416,0.021619459
R,8/5/2024,218,2024,3,4.6,346,0.013294798,0.009728702
R,8/5/2024,218,2024,3.5,3.44,345,0.009971014,0.007296465
L,8/6/2024,219,2024,0,1244,978,1.27198364,0.930796434
L,8/6/2024,219,2024,0.25,906,1012,0.895256917,0.655120018
L,8/6/2024,219,2024,0.5,874,1000,0.874,0.639564895
L,8/6/2024,219,2024,0.75,722,1079,0.669138091,0.489653584
L,8/6/2024,219,2024,1,568,1021,0.556317336,0.40709501
L,8/6/2024,219,2024,1.5,438,1037,0.422372228,0.309078317
L,8/6/2024,219,2024,2,288,1099,0.262056415,0.191764398
L,8/6/2024,219,2024,2.5,219,1073,0.204100652,0.149354247
L,8/6/2024,219,2024,3,153,1089,0.140495868,0.102810326
L,8/6/2024,219,2024,3.5,103,1084,0.09501845,0.069531425
L,8/6/2024,219,2024,4,79,1048,0.075381679,0.055161872
L,8/6/2024,219,2024,4.5,56,1055,0.053080569,0.038842641
L,8/6/2024,219,2024,5,46,1061,0.043355325,0.031726023
L,8/6/2024,219,2024,5.5,30,1056,0.028409091,0.020788853
L,8/6/2024,219,2024,6,24,1070,0.022429907,0.016413479
L,8/6/2024,219,2024,6.5,15.9,1032,0.015406977,0.011274327
L,8/6/2024,219,2024,7,8.9,1034,0.00860735,0.00629858
T,8/7/2024,220,2024,0,174,163,1.067484663,1
T,8/7/2024,220,2024,0.25,92,137,0.671532847,0.629079621
T,8/7/2024,220,2024,0.5,62,128,0.484375,0.453753592
T,8/7/2024,220,2024,0.75,50,148,0.337837838,0.316480273
T,8/7/2024,220,2024,1,30,137,0.218978102,0.205134659
T,8/7/2024,220,2024,1.5,17,140,0.121428571,0.113752053
T,8/7/2024,220,2024,2,4.6,139,0.033093525,0.031001406
T,8/7/2024,220,2024,2.5,3.5,136,0.025735294,0.02410835
T,8/7/2024,220,2024,3,1.1,136,0.008088235,0.00757691
R,8/12/2024,225,2024,0,1113,928,1.199353448,1
R,8/12/2024,225,2024,0.25,840,946,0.88794926,0.740356616
R,8/12/2024,225,2024,0.5,588,950,0.618947368,0.516067527
R,8/12/2024,225,2024,0.75,444,953,0.465897167,0.388456937
R,8/12/2024,225,2024,1,357,983,0.363173957,0.302808115
R,8/12/2024,225,2024,1.5,196,999,0.196196196,0.163584969
R,8/12/2024,225,2024,2,110,1005,0.109452736,0.091259784
R,8/12/2024,225,2024,2.5,60,1029,0.058309038,0.048617059
R,8/12/2024,225,2024,3,35,1024,0.034179688,0.028498428
R,8/12/2024,225,2024,3.5,23,1021,0.022526934,0.018782565
R,8/12/2024,225,2024,4,14,1012,0.013833992,0.011534541
R,8/12/2024,225,2024,4.5,9,1014,0.00887574,0.007400437
L,8/13/2024,226,2024,0,1148,824,1.393203883,1
L,8/13/2024,226,2024,0.25,949,844,1.124407583,0.80706607
L,8/13/2024,226,2024,0.5,760,852,0.892018779,0.64026435
L,8/13/2024,226,2024,0.75,635,847,0.749704841,0.53811567
L,8/13/2024,226,2024,1,536,841,0.637336504,0.457461045
L,8/13/2024,226,2024,1.5,380,826,0.460048426,0.330208975
L,8/13/2024,226,2024,2,271,814,0.332923833,0.238962751
L,8/13/2024,226,2024,2.5,188,822,0.228710462,0.164161516
L,8/13/2024,226,2024,3,132,813,0.162361624,0.116538308
L,8/13/2024,226,2024,3.5,94,801,0.117353308,0.084232688
L,8/13/2024,226,2024,4,62,826,0.075060533,0.053876201
L,8/13/2024,226,2024,4.5,48,827,0.058041112,0.041660171
L,8/13/2024,226,2024,5,35,826,0.042372881,0.030413985
L,8/13/2024,226,2024,5.5,26,836,0.031100478,0.022322992
L,8/13/2024,226,2024,6,20,835,0.023952096,0.017192097
L,8/13/2024,226,2024,6.5,13,842,0.01543943,0.01108196
L,8/13/2024,226,2024,7,5,842,0.005938242,0.004262292
T,8/14/2024,227,2024,0,1108,858,1.291375291,1
T,8/14/2024,227,2024,0.25,757,862,0.878190255,0.680042634
T,8/14/2024,227,2024,0.5,444,847,0.52420307,0.405926204
T,8/14/2024,227,2024,0.75,295,828,0.356280193,0.275892063
T,8/14/2024,227,2024,1,213,865,0.246242775,0.190682582
T,8/14/2024,227,2024,1.5,98,821,0.119366626,0.092433723
T,8/14/2024,227,2024,2,40,799,0.050062578,0.03876687
T,8/14/2024,227,2024,2.5,17,831,0.02045728,0.015841468
T,8/14/2024,227,2024,3,8,865,0.009248555,0.007161787
R,8/19/2024,232,2024,0,1046,833,1.255702281,1
R,8/19/2024,232,2024,0.25,869,825,1.053333333,0.838840025
R,8/19/2024,232,2024,0.5,557,825,0.675151515,0.537668463
R,8/19/2024,232,2024,0.75,423,830,0.509638554,0.405859384
R,8/19/2024,232,2024,1,319,859,0.371362049,0.295740523
R,8/19/2024,232,2024,1.5,191,858,0.222610723,0.177279858
R,8/19/2024,232,2024,2,108,889,0.121484814,0.096746511
R,8/19/2024,232,2024,2.5,61,862,0.070765661,0.056355445
R,8/19/2024,232,2024,3,42.5,894,0.04753915,0.037858616
R,8/19/2024,232,2024,3.5,26.1,871,0.029965557,0.023863584
R,8/19/2024,232,2024,4,16,879,0.018202503,0.014495875
R,8/19/2024,232,2024,4.5,6.78,878,0.007722096,0.006149623
L,8/20/2024,233,2024,0,1238,951,1.301787592,1
L,8/20/2024,233,2024,0.25,1007,985,1.022335025,0.785331671
L,8/20/2024,233,2024,0.5,808,993,0.813695871,0.625060399
L,8/20/2024,233,2024,0.75,574,985,0.582741117,0.447646851
L,8/20/2024,233,2024,1,522,1002,0.520958084,0.400186703
L,8/20/2024,233,2024,1.5,397,980,0.405102041,0.311189048
L,8/20/2024,233,2024,2,280,985,0.284263959,0.218364318
L,8/20/2024,233,2024,2.5,191,1008,0.189484127,0.14555687
L,8/20/2024,233,2024,3,128,974,0.131416838,0.10095106
L,8/20/2024,233,2024,3.5,102,1028,0.09922179,0.076219646
L,8/20/2024,233,2024,4,62,877,0.070695553,0.054306519
L,8/20/2024,233,2024,4.5,50,1043,0.047938639,0.036825238
L,8/20/2024,233,2024,5,36,1038,0.034682081,0.026641889
L,8/20/2024,233,2024,5.5,26,1017,0.025565388,0.019638679
L,8/20/2024,233,2024,6,17,1057,0.016083254,0.012354746
L,8/20/2024,233,2024,6.5,14,1042,0.013435701,0.010320962
L,8/20/2024,233,2024,7,2,1025,0.00195122,0.001498877
T,8/21/2024,234,2024,0,1126,909,1.238723872,1
T,8/21/2024,234,2024,0.25,813,883,0.920724802,0.743284942
T,8/21/2024,234,2024,0.5,419,912,0.459429825,0.370889619
T,8/21/2024,234,2024,0.75,284,912,0.311403509,0.251390577
T,8/21/2024,234,2024,1,158,899,0.175750834,0.141880558
T,8/21/2024,234,2024,1.5,100,794,0.125944584,0.101672848
T,8/21/2024,234,2024,2,49,803,0.061021171,0.049261318
T,8/21/2024,234,2024,2.5,18.5,809,0.022867738,0.018460723
T,8/21/2024,234,2024,3,8,806,0.009925558,0.008012729
