"lake","doy","depth","year","date_time","chl_ugL","do_mgL","do_percent","temp","pH","phyco_cells","SPC","flag"
"L",166,4.75,2022,"2022-06-15 10:48:50",8.51,3.91,34,6.35,5.805,341,13,"pH"
"R",166,4.75,2022,"2022-06-15 11:10:50",19.23,1.18,9.9,4.99,5.874,990,16,"pH"
"T",166,4.75,2022,"2022-06-15 11:44:50",8.74,0.69,5.7,4.51,4.877,839,11,"pH"
"L",167,4.75,2022,"2022-06-16 09:42:50",8.15,4.35,37.9,6.48,5.81,619,13,"pH"
"R",167,4.75,2022,"2022-06-16 10:05:50",18.93,1,8.4,5,5.898,1253,16,"pH"
"T",167,4.75,2022,"2022-06-16 10:42:50",8.03,0.67,5.5,4.46,4.874,950,11,"pH"
"L",168,4.75,2022,"2022-06-17 07:36:50",9.19,3.64,31.6,6.32,5.815,637,12,"pH"
"R",168,4.75,2022,"2022-06-17 07:59:50",23.25,1.05,8.8,5.03,5.922,1543,16,"pH"
"T",168,4.75,2022,"2022-06-17 08:31:50",6.33,0.63,5.2,4.45,4.871,890,11,"pH"
"L",169,4.75,2022,"2022-06-18 10:42:50",7.7,4.53,39.5,6.45,5.82,765,13,"pH"
"R",169,4.75,2022,"2022-06-18 11:04:50",27.05,1.57,13.3,5.11,5.946,1470,16,"pH"
"T",169,4.75,2022,"2022-06-18 11:33:50",10.37,0.66,5.5,4.48,4.868,1027,11,"pH"
"L",170,4.75,2022,"2022-06-19 09:58:50",6.76,4.33,37.9,6.52,5.825,577,13,"pH"
"R",170,4.75,2022,"2022-06-19 10:19:50",42.07,1.27,10.7,5.11,5.97,1836,16,"pH"
"T",170,4.75,2022,"2022-06-19 10:50:50",8.62,0.6,5,4.47,4.865,972,11,"pH"
"L",171,4.75,2022,"2022-06-20 09:27:50",8.56,4.78,41.8,6.54,5.83,650,12,"pH"
"R",171,4.75,2022,"2022-06-20 10:00:50",44.35,1.35,11.4,5.18,5.994,1795,16,"pH"
"T",171,4.75,2022,"2022-06-20 09:02:50",8.99,0.33,2.8,4.51,4.862,1139,11,"pH"
"L",172,4.75,2022,"2022-06-21 09:48:50",6.69,4.02,35,6.47,5.835,582,13,"pH"
"R",172,4.75,2022,"2022-06-21 09:18:50",37.92,1.29,10.9,5.13,6.018,1738,16,"pH"
"T",172,4.75,2022,"2022-06-21 08:50:50",9.38,0.4,3.3,4.56,4.859,1110,11,"pH"
"L",173,4.75,2022,"2022-06-22 09:14:50",7.51,4.68,41.1,6.75,5.84,640,13,"pH"
"R",173,4.75,2022,"2022-06-22 08:48:50",42.51,1.345,11.35,5.16,6.042,2080,16,"pH"
"T",173,4.75,2022,"2022-06-22 10:33:50",9.34,0.75,6.3,4.58,4.856,1172,11,"pH"
"L",174,4.75,2022,"2022-06-23 09:13:50",8.95,5.34,47.2,6.99,5.845,693,13,"pH"
"R",174,4.75,2022,"2022-06-23 08:41:50",53.43,1.4,11.8,5.21,6.066,2176,16,"pH"
"T",174,4.75,2022,"2022-06-23 09:45:50",11.16,0.73,6,4.62,4.853,1301,11,"pH"
"L",175,4.75,2022,"2022-06-24 09:45:50",8.07,4.66,41,6.9,5.85,639,13,NA
"R",175,4.75,2022,"2022-06-24 09:18:50",43.61,1.63,13.8,5.26,6.09,1870,16,NA
"T",175,4.75,2022,"2022-06-24 08:48:50",13.05,0.45,3.8,4.64,4.85,1556,11,NA
"L",176,4.75,2022,"2022-06-25 08:22:50",8.39,5.61,49.7,7.11,5.91,642,13,NA
"R",176,4.75,2022,"2022-06-25 08:00:50",47.2,1.94,16.3,5.23,6.08,1935,16,NA
"T",176,4.75,2022,"2022-06-25 07:37:50",8.07,0.41,3.4,4.54,4.87,1118,11,NA
"L",177,4.75,2022,"2022-06-26 10:14:50",9.41,5.87,52.1,7.2,5.92,718,13,NA
"R",177,4.75,2022,"2022-06-26 09:47:50",35.58,1.35,11.4,5.2,5.98,1604,16,NA
"T",177,4.75,2022,"2022-06-26 09:22:50",11.79,0.69,5.8,4.63,4.88,1355,11,NA
"L",178,4.75,2022,"2022-06-27 08:44:50",9.29,5.24,46.6,7.21,5.68,864,13,NA
"R",178,4.75,2022,"2022-06-27 09:40:50",26.69,1.41,11.9,5.23,6,1356,16,NA
"T",178,4.75,2022,"2022-06-27 09:14:50",10.17,0.69,5.7,4.61,4.94,1156,11,NA
"L",179,4.75,2022,"2022-06-28 09:18:50",7.13,6.06,53.8,7.18,5.84,611,13,NA
"R",179,4.75,2022,"2022-06-28 08:50:50",36.08,1.5,12.7,5.28,5.93,1676,16,NA
"T",179,4.75,2022,"2022-06-28 10:07:50",8.99,0.57,4.7,4.55,4.93,1018,11,NA
"L",180,4.75,2022,"2022-06-29 09:26:50",9.38,5.57,49.5,7.23,5.88,594,13,NA
"R",180,4.75,2022,"2022-06-29 09:52:50",43.91,2.5,21.2,5.42,6.06,1749,16,NA
"T",180,4.75,2022,"2022-06-29 08:52:50",8.82,0.37,3.1,4.59,4.9,1037,11,NA
"L",181,4.75,2022,"2022-06-30 10:13:50",9.52,6.07,54,7.28,5.88,695,12,NA
"R",181,4.75,2022,"2022-06-30 09:49:50",43.7,1.2,10.2,5.32,5.85,1878,16,NA
"T",181,4.75,2022,"2022-06-30 09:21:50",9.27,0.6,5,4.63,4.86,1160,11,NA
"L",182,4.75,2022,"2022-07-01 10:21:50",5.38,6.25,55.6,7.41,5.98,494,12,NA
"R",182,4.75,2022,"2022-07-01 09:29:50",47.09,2.24,19,5.48,5.93,1831,16,NA
"T",182,4.75,2022,"2022-07-01 09:02:50",9.34,0.74,6.1,4.64,4.81,1115,11,NA
"L",183,4.75,2022,"2022-07-02 09:27:50",5.34,6.5,57.8,7.43,5.95,467,13,NA
"R",183,4.75,2022,"2022-07-02 08:57:50",27.9,1.59,13.4,5.34,5.85,1502,16,NA
"T",183,4.75,2022,"2022-07-02 08:31:50",7.97,0.71,5.9,4.63,4.92,1155,12,NA
"L",184,4.75,2022,"2022-07-03 11:00:50",5.91,6.95,62.1,7.62,5.95,549,12,NA
"R",184,4.75,2022,"2022-07-03 10:40:50",38.59,1.7,14.4,5.38,5.85,1655,16,NA
"T",184,4.75,2022,"2022-07-03 10:18:50",13.12,0.75,6.2,4.71,4.76,1508,11,NA
"L",185,4.75,2022,NA,6.4,7.145,64.1,7.79,5.895,520,12,NA
"R",185,4.75,2022,NA,29.92,1.83,15.5,5.42,5.865,1370.5,16,NA
"T",185,4.75,2022,NA,12.01,0.75,6.2,4.74,4.82,1332.5,11,NA
"L",186,4.75,2022,"2022-07-05 08:53:50",6.89,7.34,66.1,7.96,5.84,491,12,NA
"R",186,4.75,2022,"2022-07-05 09:48:50",21.25,1.96,16.6,5.46,5.88,1086,16,NA
"T",186,4.75,2022,"2022-07-05 09:22:50",10.9,0.75,6.2,4.77,4.88,1157,11,NA
"L",187,4.75,2022,NA,9.86,6.575,59.1,7.885,5.84,611.5,12,NA
"R",187,4.75,2022,NA,18.91,1.67,14.1,5.44,5.88,1041.5,16,NA
"T",187,4.75,2022,NA,10.71,0.75,6.2,4.79,4.85,1173.5,11,NA
"L",188,4.75,2022,"2022-07-07 09:03:50",12.83,5.81,52.1,7.81,5.84,732,12,NA
"R",188,4.75,2022,"2022-07-07 09:35:50",16.57,1.38,11.6,5.42,5.88,997,16,NA
"T",188,4.75,2022,"2022-07-07 08:41:50",10.52,0.75,6.2,4.81,4.82,1190,11,NA
"L",189,4.75,2022,NA,8.13,6.14,55.35,7.965,5.88,592.5,12,NA
"R",189,4.75,2022,NA,30.75,1.48,12.5,5.455,5.885,1351.5,16,NA
"T",189,4.75,2022,NA,10.64,0.755,6.25,4.795,4.8,1193.5,11,NA
"L",190,4.75,2022,"2022-07-09 09:56:50",3.43,6.47,58.6,8.12,5.92,453,12,NA
"R",190,4.75,2022,"2022-07-09 09:16:50",44.93,1.58,13.4,5.49,5.89,1706,16,NA
"T",190,4.75,2022,"2022-07-09 08:50:50",10.76,0.76,6.3,4.78,4.78,1197,11,NA
"L",191,4.75,2022,NA,4.87,6.365,57.7,8.185,5.9,499,12,NA
"R",191,4.75,2022,NA,44.6,1.7325,14.725,5.555,5.87,1777.5,16,NA
"T",191,4.75,2022,NA,10.23,0.755,6.25,4.78,4.85,1223,11.5,NA
"L",192,4.75,2022,"2022-07-11 11:34:50",6.31,6.26,56.8,8.25,5.88,545,12,NA
"R",192,4.75,2022,"2022-07-11 09:26:50",44.27,1.885,16.05,5.62,5.85,1849,16,NA
"T",192,4.75,2022,"2022-07-11 12:09:50",9.7,0.75,6.2,4.78,4.92,1249,12,NA
"L",193,4.75,2022,NA,5.41,6.68,60.65,8.28,5.94,516,12,NA
"R",193,4.75,2022,NA,44.44,2.0375,17.375,5.67,5.925,1777,16,NA
"T",193,4.75,2022,NA,12.19,0.745,6.2,4.91,4.95,1393,11.5,NA
"L",194,4.75,2022,"2022-07-13 09:19:50",4.51,7.1,64.5,8.31,6,487,12,NA
"R",194,4.75,2022,"2022-07-13 08:53:50",44.61,2.19,18.7,5.72,6,1705,16,NA
"T",194,4.75,2022,"2022-07-13 10:02:50",14.68,0.74,6.2,5.04,4.98,1537,11,NA
"L",195,4.75,2022,NA,4.455,7.045,64,8.31,6.005,489.5,12,NA
"R",195,4.75,2022,NA,44.26,2.615,22.25,5.7,6.07,1759,16,NA
"T",195,4.75,2022,NA,23.19,0.74,6.2,5.06,4.95,1953.5,11,NA
"L",196,4.75,2022,"2022-07-15 09:10:50",4.4,6.99,63.5,8.31,6.01,492,12,NA
"R",196,4.75,2022,"2022-07-15 09:31:50",43.91,3.04,25.8,5.68,6.14,1813,16,NA
"T",196,4.75,2022,"2022-07-15 10:12:50",31.7,0.74,6.2,5.08,4.92,2370,11,NA
"L",197,4.75,2022,NA,5.96,6.985,63.7,8.47,6.035,552,12.5,NA
"R",197,4.75,2022,NA,48.67,3.42,29.2,5.81,6.16,1952,16,NA
"T",197,4.75,2022,NA,22.59,0.74,6.2,5.03,4.96,1889.5,11.5,NA
"L",198,4.75,2022,"2022-07-17 09:18:50",7.52,6.98,63.9,8.63,6.06,612,13,NA
"R",198,4.75,2022,"2022-07-17 08:54:50",53.43,3.8,32.6,5.94,6.18,2091,16,NA
"T",198,4.75,2022,"2022-07-17 09:47:50",13.48,0.74,6.2,4.98,5,1409,12,NA
"L",199,4.75,2022,NA,7.35,6.95,63.65,8.63,6.035,658,12.75,NA
"R",199,4.75,2022,NA,43.585,2.645,22.65,5.825,6.12,1737,16,NA
"T",199,4.75,2022,NA,24.695,0.74,6.2,5.1,4.9,1829.5,11,NA
"L",200,4.75,2022,NA,7.18,6.92,63.4,8.63,6.01,704,12.5,NA
"R",200,4.75,2022,"2022-07-19 09:01:50",33.74,1.49,12.7,5.71,6.06,1383,16,NA
"T",200,4.75,2022,"2022-07-19 09:37:50",35.91,0.74,6.2,5.22,4.8,2250,10,NA
"L",201,4.75,2022,NA,7.01,6.89,63.15,8.63,5.985,750,12.25,NA
"R",201,4.75,2022,NA,27.025,1.46,12.45,5.705,6.025,1300.5,16,NA
"T",201,4.75,2022,NA,26.16,0.74,6.2,5.175,4.855,1943.5,10,NA
"L",202,4.75,2022,"2022-07-21 11:39:50",6.84,6.86,62.9,8.63,5.96,796,12,NA
"R",202,4.75,2022,"2022-07-21 12:00:50",20.31,1.43,12.2,5.7,5.99,1218,16,NA
"T",202,4.75,2022,"2022-07-21 12:33:50",16.41,0.74,6.2,5.13,4.91,1637,10,NA
"L",203,4.75,2022,NA,7.75,7.23,66.7,8.88,6.06,675,12,NA
"R",203,4.75,2022,NA,33.12,2.22,18.95,5.755,6.06,1416.5,16,NA
"T",203,4.75,2022,NA,28.67,0.725,6.05,5.235,4.875,2046,10,NA
"L",204,4.75,2022,"2022-07-23 09:31:50",8.66,7.6,70.5,9.13,6.16,554,12,NA
"R",204,4.75,2022,"2022-07-23 09:08:50",45.93,3.01,25.7,5.81,6.13,1615,16,NA
"T",204,4.75,2022,"2022-07-23 08:44:50",40.93,0.71,5.9,5.34,4.84,2455,10,NA
"L",205,4.75,2022,NA,10.4,7.375,68.3,9.075,6.055,622.5,12,NA
"R",205,4.75,2022,NA,40.305,2.235,19.1,5.81,6.11,1526,16,NA
"T",205,4.75,2022,NA,31.12,0.725,6.05,5.285,4.82,2216,10,NA
"L",206,4.75,2022,"2022-07-25 10:45:50",12.14,7.15,66.1,9.02,5.95,691,12,NA
"R",206,4.75,2022,"2022-07-25 11:07:50",34.68,1.46,12.5,5.81,6.09,1437,16,NA
"T",206,4.75,2022,"2022-07-25 10:24:50",21.31,0.74,6.2,5.23,4.8,1977,10,NA
"L",207,4.75,2022,NA,9.9875,6.95,64.275,9.03,6.0075,615,12.25,NA
"R",207,4.75,2022,NA,36.775,1.5075,12.925,5.8475,6.125,1514,16.25,NA
"T",207,4.75,2022,NA,20.6025,0.73,6.125,5.255,4.855,1929.75,10,NA
"L",208,4.75,2022,NA,7.835,6.75,62.45,9.04,6.065,539,12.5,NA
"R",208,4.75,2022,NA,38.87,1.555,13.35,5.885,6.16,1591,16.5,NA
"T",208,4.75,2022,NA,19.895,0.72,6.05,5.28,4.91,1882.5,10,NA
"L",209,4.75,2022,NA,5.6825,6.55,60.625,9.05,6.1225,463,12.75,NA
"R",209,4.75,2022,NA,40.965,1.6025,13.775,5.9225,6.195,1668,16.75,NA
"T",209,4.75,2022,NA,19.1875,0.71,5.975,5.305,4.965,1835.25,10,NA
"L",210,4.75,2022,"2022-07-29 09:21:50",3.53,6.35,58.8,9.06,6.18,387,13,NA
"R",210,4.75,2022,"2022-07-29 08:59:50",43.06,1.65,14.2,5.96,6.23,1745,17,NA
"T",210,4.75,2022,"2022-07-29 08:35:50",18.48,0.7,5.9,5.33,5.02,1788,10,NA
"L",211,4.75,2022,NA,3.525,6.39,59.3,9.16,6.145,397.5,13,NA
"R",211,4.75,2022,NA,41.66,1.83,15.75,6.06,6.23,1849.5,17,NA
"T",211,4.75,2022,NA,25.42,0.72,6.05,5.395,4.925,1936.5,9.5,NA
"L",212,4.75,2022,"2022-07-31 13:04:50",3.52,6.43,59.8,9.26,6.11,408,13,NA
"R",212,4.75,2022,"2022-07-31 12:42:50",40.26,2.01,17.3,6.16,6.23,1954,17,NA
"T",212,4.75,2022,"2022-07-31 12:15:50",32.36,0.74,6.2,5.46,4.83,2085,9,NA
"L",213,4.75,2022,"2022-08-01 12:42:50",4.14,6.85,63.7,9.31,6.15,404,13,NA
"R",213,4.75,2022,"2022-08-01 12:14:50",37.33,1.99,17.1,6.1,6.17,1943,17,NA
"T",213,4.75,2022,"2022-08-01 11:50:50",40.4,0.69,5.9,5.54,5.1,2500,9,NA
"L",214,4.75,2022,"2022-08-02 09:58:50",3.42,6.62,62,9.53,6.28,396,13,NA
"R",214,4.75,2022,"2022-08-02 10:58:50",59.71,1.46,12.6,6.18,6.18,2370,17,NA
"T",214,4.75,2022,"2022-08-02 10:32:50",16.69,0.69,5.8,5.35,5.05,1836,10,NA
"L",215,4.75,2022,NA,3.875,6.35,59.5,9.575,6.235,414,13,NA
"R",215,4.75,2022,NA,50.955,2.77,24,6.305,6.285,2221,17,NA
"T",215,4.75,2022,NA,23.27,0.72,6.05,5.425,5.07,2133,10.5,NA
"L",216,4.75,2022,"2022-08-04 14:32:50",4.33,6.08,57,9.62,6.19,432,13,NA
"R",216,4.75,2022,"2022-08-04 14:09:50",42.2,4.08,35.4,6.43,6.39,2072,17,NA
"T",216,4.75,2022,"2022-08-04 13:47:50",29.85,0.75,6.3,5.5,5.09,2430,11,NA
"L",217,4.75,2022,NA,4.395,5.765,53.95,9.53,6.145,424.5,13,NA
"R",217,4.75,2022,NA,48.31,3.525,30.6,6.48,6.36,2277.5,16.5,NA
"T",217,4.75,2022,NA,33.55,0.725,6.15,5.55,4.985,2334.5,10,NA
"L",218,4.75,2022,"2022-08-06 12:23:50",4.46,5.45,50.9,9.44,6.1,417,13,NA
"R",218,4.75,2022,"2022-08-06 11:58:50",54.42,2.97,25.8,6.53,6.33,2483,16,NA
"T",218,4.75,2022,"2022-08-06 11:31:50",37.25,0.7,6,5.6,4.88,2239,9,NA
"L",219,4.75,2022,NA,4.92,5.23,49.05,9.6,6.055,431.5,13,NA
"R",219,4.75,2022,NA,60.885,2.52,21.9,6.545,6.305,2543.5,16,NA
"T",219,4.75,2022,NA,29.94,0.71,6.05,5.64,4.945,1914,9,NA
"L",220,4.75,2022,"2022-08-08 09:32:50",5.38,5.01,47.2,9.76,6.01,446,13,NA
"R",220,4.75,2022,"2022-08-08 09:58:50",67.35,2.07,18,6.56,6.28,2604,16,NA
"T",220,4.75,2022,"2022-08-08 09:00:50",22.63,0.72,6.1,5.68,5.01,1589,9,NA
"L",153,5,2022,"2022-06-02 09:13:20",4.05,2.47,20.9,5.4,5.52,505,13,NA
"R",153,5,2022,"2022-06-02 08:46:20",32.68,1.27,10.6,4.71,5.55,1684,15,NA
"T",153,5,2022,"2022-06-02 09:56:20",6.21,0.75,6.2,4.35,4.8,803,11,NA
"L",154,5,2022,"2022-06-03 11:05:20",4.1,2.61,22.1,5.38,5.825,518,13,"pH"
"R",154,5,2022,"2022-06-03 10:41:20",30.51,1,8.3,4.71,5.875,1707,15,"pH"
"T",154,5,2022,"2022-06-03 11:37:20",5.06,0.73,6,4.34,4.8325,724,11,"pH"
"L",155,5,2022,"2022-06-04 09:21:20",6.02,2.27,19.3,5.42,6.13,596,13,NA
"R",155,5,2022,"2022-06-04 08:57:20",34.34,1.05,8.7,4.73,6.2,1938,15,NA
"T",155,5,2022,"2022-06-04 08:31:20",5.68,0.68,5.7,4.34,4.865,936,11,"pH"
"L",156,5,2022,"2022-06-05 09:26:20",6.11,2.53,21.6,5.57,5.94,597,13,NA
"R",156,5,2022,"2022-06-05 09:04:20",37.04,1.11,9.2,4.78,5.96,1637,15,NA
"T",156,5,2022,"2022-06-05 08:38:20",5.58,0.46,3.8,4.33,4.8975,877,11,"pH"
"L",157,5,2022,"2022-06-06 09:08:20",6.63,2.62,22.4,5.68,5.73,627,13,NA
"R",157,5,2022,"2022-06-06 09:32:20",28.43,0.97,8.1,4.8,5.85,1729,15,NA
"T",157,5,2022,"2022-06-06 08:41:20",7.25,0.42,3.5,4.39,4.93,1083,11,NA
"L",158,5,2022,"2022-06-07 09:35:20",9.65,2.45,20.9,5.58,5.73,478,13,NA
"R",158,5,2022,"2022-06-07 09:07:20",24.84,1.07,8.9,4.8,5.84,1181,15,NA
"T",158,5,2022,"2022-06-07 08:42:20",6.7,0.43,3.6,4.36,5.03,581,11,NA
"L",159,5,2022,"2022-06-08 08:59:20",13.03,3.21,27.6,5.85,5.81,731,13,NA
"R",159,5,2022,"2022-06-08 08:35:20",24.32,0.96,8,4.83,5.67,1658,15,NA
"T",159,5,2022,"2022-06-08 09:38:20",6.48,0.64,5.3,4.34,5.08,889,11,NA
"L",160,5,2022,"2022-06-09 09:14:20",10.31,2.94,25.2,5.77,5.65,711,13,NA
