"lake","doy","depth","year","date_time","chl_ugL","do_mgL","do_percent","temp","pH","phyco_cells","SPC","flag"
"R",179,3.75,2022,"2022-06-28 08:48:50",12.42,12.38,110.8,7.51,6.61,813,14,NA
"T",179,3.75,2022,"2022-06-28 10:05:50",19.82,0.77,6.6,5.68,4.91,1333,10,NA
"L",180,3.75,2022,"2022-06-29 09:24:50",2.42,10.45,100.2,10.34,6.19,395,12,NA
"R",180,3.75,2022,"2022-06-29 09:50:50",10.67,12.4,111.3,7.62,6.54,638,15,NA
"T",180,3.75,2022,"2022-06-29 08:50:50",15.7,0.73,6.3,5.88,4.91,1277,10,NA
"L",181,3.75,2022,"2022-06-30 10:11:50",2.195,10.94,105.3,10.54,6.25,353,12,NA
"R",181,3.75,2022,"2022-06-30 09:47:50",106.9,12.39,110.8,7.42,6.51,4664,15,NA
"T",181,3.75,2022,"2022-06-30 09:19:50",43.35,0.76,6.6,6.12,4.91,2259,10,NA
"L",182,3.75,2022,"2022-07-01 10:19:50",2.23,10.97,106.3,11.02,6.33,380,12,NA
"R",182,3.75,2022,"2022-07-01 09:27:50",7.22,12.94,116.8,8.03,6.42,520,15,NA
"T",182,3.75,2022,"2022-07-01 09:00:50",13.82,0.96,8.3,6.14,4.95,1351,10,NA
"L",183,3.75,2022,"2022-07-02 09:25:50",2.17,12,116.5,11.08,6.31,417,11,NA
"R",183,3.75,2022,"2022-07-02 08:55:50",16.09,12.6,113.8,8.04,6.36,843,15,NA
"T",183,3.75,2022,"2022-07-02 08:29:50",8.65,0.93,8.1,6.25,4.95,781,10,NA
"L",184,3.75,2022,"2022-07-03 10:58:50",2.65,10.76,104.8,11.21,6.28,413,12,NA
"R",184,3.75,2022,"2022-07-03 10:38:50",14.26,13.03,116.3,7.6,6.4,916,15,NA
"T",184,3.75,2022,"2022-07-03 10:16:50",9.4,1.02,8.8,6.46,4.88,804,11,NA
"L",186,3.75,2022,"2022-07-05 08:51:50",4.6,10.7,105.1,11.57,6.09,499,12,NA
"R",186,3.75,2022,"2022-07-05 09:46:50",26.2,12.85,116.3,8.12,6.37,1205,15,NA
"T",186,3.75,2022,"2022-07-05 09:20:50",9.17,1.04,9.1,6.69,4.98,714,10,NA
"L",188,3.75,2022,"2022-07-07 09:01:50",4.24,10.97,108.2,11.79,6.19,446,12,NA
"R",188,3.75,2022,"2022-07-07 09:33:50",22.67,12.57,114.1,8.27,6.49,1029,15,NA
"T",188,3.75,2022,"2022-07-07 08:39:50",7.09,0.98,8.6,6.75,4.93,683,11,NA
"L",190,3.75,2022,"2022-07-09 09:54:50",2.59,11.29,111.1,11.68,6.31,462,12,NA
"R",190,3.75,2022,"2022-07-09 09:14:50",9.04,12.74,117.4,8.91,6.43,661,15,NA
"T",190,3.75,2022,"2022-07-09 08:48:50",8.24,0.99,8.7,6.76,4.89,700,11,NA
"L",192,3.75,2022,"2022-07-11 11:32:50",3.2,11.05,109.3,11.9,6.2,494,12,NA
"R",192,3.75,2022,"2022-07-11 09:24:50",7.5,NA,NA,8.44,6.36,686,15,NA
"T",192,3.75,2022,"2022-07-11 12:07:50",7.84,0.99,8.6,6.44,4.89,666,10,NA
"L",194,3.75,2022,"2022-07-13 09:17:50",2.83,11.42,114.1,12.32,6.39,495,12,NA
"R",194,3.75,2022,"2022-07-13 08:51:50",10.83,12.81,117.6,8.75,6.49,726,15,NA
"T",194,3.75,2022,"2022-07-13 10:00:50",7.88,0.97,8.5,6.87,5.09,691,10,NA
"L",196,3.75,2022,"2022-07-15 09:08:50",9.01,11.36,114.9,12.91,6.38,488,11,NA
"R",196,3.75,2022,"2022-07-15 09:29:50",11.07,12.83,118.6,9.03,6.62,632,15,NA
"T",196,3.75,2022,"2022-07-15 10:10:50",7.58,1.06,9.4,7.18,5.09,686,10,NA
"L",198,3.75,2022,"2022-07-17 09:16:50",6.24,11.65,117.6,12.81,6.46,506,12,NA
"R",198,3.75,2022,"2022-07-17 08:52:50",13.93,12.71,118.6,9.41,6.58,696,15,NA
"T",198,3.75,2022,"2022-07-17 09:45:50",8.33,1.02,9,7.2,5.12,691,10,NA
"L",200,3.75,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R",200,3.75,2022,"2022-07-19 08:59:50",29.78,13.05,121.9,9.44,6.66,899,15,NA
"T",200,3.75,2022,"2022-07-19 09:35:50",7.6,1.02,9.1,7.31,5.05,704,10,NA
"L",202,3.75,2022,"2022-07-21 11:37:50",7.01,11.72,119.8,13.36,6.34,730,12,NA
"R",202,3.75,2022,"2022-07-21 11:58:50",26.32,12.97,120.3,9.15,6.57,945,15,NA
"T",202,3.75,2022,"2022-07-21 12:31:50",7.89,0.91,8.1,7.32,5,701,10,NA
"L",204,3.75,2022,"2022-07-23 09:29:50",5.04,11.19,115.2,13.68,6.47,387,12,NA
"R",204,3.75,2022,"2022-07-23 09:06:50",20.05,12.24,115.2,9.76,6.6,777,15,NA
"T",204,3.75,2022,"2022-07-23 08:42:50",8.19,0.95,8.5,7.52,5.08,675,10,NA
"L",206,3.75,2022,"2022-07-25 10:43:50",4.64,11.24,115,13.37,6.25,472,12,NA
"R",206,3.75,2022,"2022-07-25 11:05:50",20.95,13.04,123.2,9.93,6.68,917,15,NA
"T",206,3.75,2022,"2022-07-25 10:22:50",7.38,0.89,8,7.67,5.06,809,10,NA
"L",210,3.75,2022,"2022-07-29 09:19:50",3.57,11.58,119.4,13.76,6.61,381,12,NA
"R",210,3.75,2022,"2022-07-29 08:57:50",21.34,12.85,122,10.13,6.71,794,15,NA
"T",210,3.75,2022,"2022-07-29 08:33:50",5.99,0.84,7.6,7.95,5.25,716,10,NA
"L",212,3.75,2022,"2022-07-31 13:02:50",2.95,10.5,108.7,13.93,6.46,358,12,NA
"R",212,3.75,2022,"2022-07-31 12:40:50",15.05,13.06,125.7,10.72,6.75,687,15,NA
"T",212,3.75,2022,"2022-07-31 12:13:50",5.3,0.83,7.5,8.04,5.15,764,10,NA
"L",213,3.75,2022,"2022-08-01 12:40:50",3.35,10.58,110.6,14.35,6.49,383,12,NA
"R",213,3.75,2022,"2022-08-01 12:12:50",15.5,12.03,117.1,11.2,6.6,677,15,NA
"T",213,3.75,2022,"2022-08-01 11:48:50",5.71,0.86,7.9,8.53,5.66,725,10,NA
"L",214,3.75,2022,"2022-08-02 09:56:50",3.46,10.7,111.8,14.38,6.45,364,12,NA
"R",214,3.75,2022,"2022-08-02 10:56:50",16.55,12.47,119.8,10.64,6.69,709,15,NA
"T",214,3.75,2022,"2022-08-02 10:30:50",5.57,0.75,6.7,7.95,5.16,753,10,NA
"L",216,3.75,2022,"2022-08-04 14:30:50",3.23,10.43,109.3,14.47,6.53,390,12,NA
"R",216,3.75,2022,"2022-08-04 14:07:50",12.16,12.62,123.5,11.43,6.67,611,15,NA
"T",216,3.75,2022,"2022-08-04 13:45:50",5.95,0.76,6.9,8.33,5.46,844,10,NA
"L",218,3.75,2022,"2022-08-06 12:21:50",3.83,10.16,107.2,14.8,6.48,384,12,NA
"R",218,3.75,2022,"2022-08-06 11:56:50",12.01,12.89,125.4,11.15,6.76,553,15,NA
"T",218,3.75,2022,"2022-08-06 11:29:50",5.74,0.75,6.9,8.31,5.28,814,10,NA
"L",220,3.75,2022,"2022-08-08 09:30:50",3.04,9.93,105.1,14.91,6.39,357,12,NA
"R",220,3.75,2022,"2022-08-08 09:56:50",8.6,12.57,121.8,11.11,6.76,517,15,NA
"T",220,3.75,2022,"2022-08-08 08:58:50",5.63,0.74,6.8,8.91,5.64,783,10,NA
"L",153,4,2022,"2022-06-02 09:11:20",11.79,6.81,59.6,6.61,5.91,643,12,NA
"R",153,4,2022,"2022-06-02 08:44:20",31.48,11.4,96.9,5.48,6.24,1609,15,NA
"T",153,4,2022,"2022-06-02 09:54:20",15.16,0.79,6.6,4.66,4.89,1536,11,NA
"L",154,4,2022,"2022-06-03 11:03:20",9.04,5.91,51.7,6.61,NA,611,12,"pH"
"R",154,4,2022,"2022-06-03 10:39:20",27.93,6.85,58,5.3,NA,1767,15,"pH"
"T",154,4,2022,"2022-06-03 11:35:20",12.37,0.76,6.3,4.63,NA,1333,11,"pH"
"L",155,4,2022,"2022-06-04 09:19:20",12.92,10.63,93.4,6.79,6.59,685,12,NA
"R",155,4,2022,"2022-06-04 08:55:20",20.56,10.42,88.5,5.45,6.69,1077,15,NA
"T",155,4,2022,"2022-06-04 08:29:20",16.67,0.76,6.3,4.67,NA,1950,11,"pH"
"L",156,4,2022,"2022-06-05 09:24:20",20.2,9.25,81.4,6.83,6.32,840,12,NA
"R",156,4,2022,"2022-06-05 09:02:20",20.58,11.02,93.8,5.52,6.45,1182,15,NA
"T",156,4,2022,"2022-06-05 08:36:20",12.7,0.59,5,4.76,NA,1506,11,"pH"
"L",157,4,2022,"2022-06-06 09:06:20",13.66,8.14,72,7.02,6.04,715,12,NA
"R",157,4,2022,"2022-06-06 09:30:20",31.42,9.45,80,5.33,6.38,1387,15,NA
"T",157,4,2022,"2022-06-06 08:39:20",13.91,0.56,4.7,4.83,5.02,1858,11,NA
"L",158,4,2022,"2022-06-07 09:33:20",12.91,7.9,70,7.09,6.13,381,12,NA
"R",158,4,2022,"2022-06-07 09:05:20",65.58,11.47,97.9,5.63,6.57,2153,15,NA
"T",158,4,2022,"2022-06-07 08:40:20",12.81,0.49,4.1,4.77,5.11,1043,10,NA
"L",159,4,2022,"2022-06-08 08:57:20",11.05,8.39,74.8,7.36,6.21,606,12,NA
"R",159,4,2022,"2022-06-08 08:33:20",41.54,11.09,94.6,5.62,6.37,1843,15,NA
"T",159,4,2022,"2022-06-08 09:36:20",16.94,0.72,6,4.88,5.13,1603,10,NA
"L",160,4,2022,"2022-06-09 09:12:20",9.37,9.08,80.7,7.23,6.09,597,12,NA
"R",160,4,2022,"2022-06-09 09:39:20",48.89,11.4,97.2,5.57,6.46,1729,15,NA
"T",160,4,2022,"2022-06-09 10:26:20",13.56,0.58,4.9,4.76,4.95,1306,10,NA
"L",161,4,2022,"2022-06-10 11:24:20",8.2,9.57,85.3,7.35,6.12,567,12,NA
"R",161,4,2022,"2022-06-10 10:55:20",26.51,11.65,99.6,5.69,6.48,1598,15,NA
"T",161,4,2022,"2022-06-10 12:20:20",15.92,0.79,6.6,4.84,4.93,1424,10,NA
"L",162,4,2022,"2022-06-11 08:42:20",5.64,8.39,74.7,7.24,6.07,464,12,NA
"R",162,4,2022,"2022-06-11 12:20:20",24.58,11.27,96.6,5.79,6.55,1175,15,NA
"T",162,4,2022,"2022-06-11 12:58:20",15.99,0.73,6.1,5,4.99,1728,10,NA
"L",163,4,2022,"2022-06-12 09:55:20",6.94,9.33,83.6,7.59,6.05,569,12,NA
"R",163,4,2022,"2022-06-12 09:31:20",71.29,11.71,100.5,5.84,6.27,2558,15,NA
"T",163,4,2022,"2022-06-12 10:26:20",12.64,0.72,6,4.93,4.92,1235,10,NA
"L",164,4,2022,"2022-06-13 10:37:50",5.7,8.26,73.5,7.27,6.05,580,12,NA
"R",164,4,2022,"2022-06-13 11:15:20",124.07,12.26,105.7,6.01,6.67,4480,15,NA
"T",164,4,2022,"2022-06-13 10:08:20",16.26,0.74,6.2,5,4.93,1531,10,NA
"L",165,4,2022,"2022-06-14 09:53:20",6.94,8.39,75,7.42,6.15,560,12,NA
"R",165,4,2022,"2022-06-14 09:23:20",68.08,11.6,100.2,6.1,6.62,2409,15,NA
"T",165,4,2022,"2022-06-14 08:48:20",14.17,0.41,3.4,4.93,4.84,1435,10,NA
"L",166,4,2022,"2022-06-15 10:47:20",4.51,8.24,74.2,7.75,NA,192,12,"pH"
"R",166,4,2022,"2022-06-15 11:09:20",164.42,11.62,99.7,5.85,NA,5654,15,"pH"
"T",166,4,2022,"2022-06-15 11:43:20",11.78,0.68,5.8,5.08,NA,800,10,"pH"
"L",167,4,2022,"2022-06-16 09:41:20",3.88,8.69,78.9,8.11,NA,394,12,"pH"
"R",167,4,2022,"2022-06-16 10:04:20",60.29,10.68,91.6,5.77,NA,2283,15,"pH"
"T",167,4,2022,"2022-06-16 10:41:20",11.04,0.68,5.7,4.89,NA,1167,10,"pH"
"L",168,4,2022,"2022-06-17 07:35:20",4.33,9.38,84.9,8,NA,482,12,"pH"
"R",168,4,2022,"2022-06-17 07:58:20",60.49,11.54,99.7,6.11,NA,2093,15,"pH"
"T",168,4,2022,"2022-06-17 08:30:20",11.03,0.66,5.6,4.93,NA,1049,10,"pH"
"L",169,4,2022,"2022-06-18 10:41:20",4.25,10.58,96.2,8.14,NA,485,12,"pH"
"R",169,4,2022,"2022-06-18 11:03:20",93.45,11.67,100.7,6.07,NA,3586,14,"pH"
"T",169,4,2022,"2022-06-18 11:32:20",12.22,0.69,5.8,5,NA,1026,10,"pH"
"L",170,4,2022,"2022-06-19 09:57:20",4.33,9.08,82.5,8.16,NA,453,12,"pH"
"R",170,4,2022,"2022-06-19 10:18:20",38.25,11.11,95.3,5.81,NA,1713,15,"pH"
"T",170,4,2022,"2022-06-19 10:49:20",14.81,0.66,5.5,5.04,NA,1297,10,"pH"
"L",171,4,2022,"2022-06-20 09:26:20",3.75,8.97,81.7,8.22,NA,407,12,"pH"
"R",171,4,2022,"2022-06-20 09:59:20",112.07,11.51,99.3,6.03,NA,4044,15,"pH"
"T",171,4,2022,"2022-06-20 09:01:20",15.3,0.38,3.2,5.09,NA,1493,10,"pH"
"L",172,4,2022,"2022-06-21 09:47:20",3.26,9.15,83.9,8.47,NA,383,12,"pH"
"R",172,4,2022,"2022-06-21 09:17:20",154.8,11.82,102.1,6.1,NA,5380,15,"pH"
"T",172,4,2022,"2022-06-21 08:49:20",11.18,0.68,5.7,5.3,NA,1035,10,"pH"
"L",173,4,2022,"2022-06-22 09:13:20",3.3,NA,NA,8.66,NA,413,12,"pH"
"R",173,4,2022,"2022-06-22 08:47:20",128.35,NA,NA,6.21,NA,4191,15,"pH"
"T",173,4,2022,"2022-06-22 10:32:20",13.22,0.78,6.6,5.43,NA,1041,10,"pH"
"L",174,4,2022,"2022-06-23 09:12:20",3.31,9.16,84.8,8.89,NA,409,12,"pH"
"R",174,4,2022,"2022-06-23 08:40:20",132.6,11.68,101,6.14,NA,4801,15,"pH"
"T",174,4,2022,"2022-06-23 09:44:20",13.67,0.76,6.5,5.33,NA,1147,10,"pH"
"L",175,4,2022,"2022-06-24 09:44:20",2.64,9.21,85.1,8.82,6.13,343,12,NA
"R",175,4,2022,"2022-06-24 09:17:20",234,12.1,105.1,6.31,6.68,7207,15,NA
"T",175,4,2022,"2022-06-24 08:47:20",11.61,0.69,5.8,5.33,4.88,1023,10,NA
"L",176,4,2022,"2022-06-25 08:21:20",2.89,9.14,84.8,9.01,6.17,346,12,NA
"R",176,4,2022,"2022-06-25 07:59:20",121.05,12.03,104.5,6.33,6.69,3847,15,NA
"T",176,4,2022,"2022-06-25 07:36:20",15.54,0.55,4.6,5.18,4.83,1615,10,NA
"L",177,4,2022,"2022-06-26 10:13:20",3.62,8.89,82.7,9.1,6.18,443,12,NA
"R",177,4,2022,"2022-06-26 09:46:20",123.34,11.52,99.9,6.24,6.66,4603,15,NA
"T",177,4,2022,"2022-06-26 09:21:20",12.51,0.69,5.9,5.44,4.87,1360,10,NA
"L",178,4,2022,"2022-06-27 08:43:20",4.01,10.11,94.2,9.14,5.96,619,NA,NA
"R",178,4,2022,"2022-06-27 09:39:20",281.17,12.07,105.6,6.61,6.62,10273,NA,NA
"T",178,4,2022,"2022-06-27 09:13:20",16.18,0.69,5.8,5.45,4.91,1341,NA,NA
"L",179,4,2022,"2022-06-28 09:17:20",3.47,9.26,86.7,9.34,6.07,399,12,NA
"R",179,4,2022,"2022-06-28 08:49:20",184,11.89,103.4,6.35,6.58,6697,15,NA
"T",179,4,2022,"2022-06-28 10:06:20",16.5,0.68,5.8,5.23,4.78,1213,10,NA
"L",180,4,2022,"2022-06-29 09:25:20",2.71,9.1,85.8,9.64,6.11,460,12,NA
"R",180,4,2022,"2022-06-29 09:51:20",157.91,11.91,104.2,6.61,6.54,6202,15,NA
"T",180,4,2022,"2022-06-29 08:51:20",16.83,0.48,4.1,5.44,4.8,1447,10,NA
"L",181,4,2022,"2022-06-30 10:12:20",2.63,9.41,88.4,9.49,6.12,430,12,NA
"R",181,4,2022,"2022-06-30 09:48:20",37.94,11.94,103.8,6.37,6.49,1568,15,NA
"T",181,4,2022,"2022-06-30 09:20:20",16.7,0.68,5.8,5.62,4.8,1573,10,NA
"L",182,4,2022,"2022-07-01 10:20:20",2.6,10.23,96.6,9.87,6.28,368,12,NA
"R",182,4,2022,"2022-07-01 09:28:20",16.11,12.87,113.5,7.06,6.45,870,15,NA
"T",182,4,2022,"2022-07-01 09:01:20",19.79,0.8,6.7,5.37,4.81,1374,10,NA
"L",183,4,2022,"2022-07-02 09:26:20",2.74,10.6,99.7,9.76,6.24,377,12,NA
"R",183,4,2022,"2022-07-02 08:56:20",186.49,12.61,110.5,6.83,6.39,6717,15,NA
"T",183,4,2022,"2022-07-02 08:30:20",43.79,0.79,6.7,5.55,4.85,2447,9,NA
"L",184,4,2022,"2022-07-03 10:59:20",2.81,10.23,96.8,9.98,6.21,422,12,NA
"R",184,4,2022,"2022-07-03 10:39:20",13.38,12.91,112.9,6.77,6.43,1224,15,NA
"T",184,4,2022,"2022-07-03 10:17:20",30.52,0.96,8.2,5.86,4.79,1348,10,NA
"L",186,4,2022,"2022-07-05 08:52:20",4.82,9.72,92.7,10.34,6.02,522,12,NA
"R",186,4,2022,"2022-07-05 09:47:20",206.78,12.82,113.2,7.13,6.4,7047,15,NA
"T",186,4,2022,"2022-07-05 09:21:20",47.59,0.88,7.6,5.95,4.84,2188,10,NA
"L",188,4,2022,"2022-07-07 09:02:20",4.65,10.18,97.5,10.48,6.12,499,12,NA
"R",188,4,2022,"2022-07-07 09:34:20",303.96,12.42,109.4,7.05,6.49,11987,15,NA
"T",188,4,2022,"2022-07-07 08:40:20",53.29,0.82,7,5.79,4.74,2667,10,NA
"L",190,4,2022,"2022-07-09 09:55:20",3.24,10,95.5,10.38,6.22,427,12,NA
"R",190,4,2022,"2022-07-09 09:15:20",142.38,12.78,113.8,7.48,6.47,4573,15,NA
"T",190,4,2022,"2022-07-09 08:49:20",13.15,0.93,8,6,4.74,893,9,NA
"L",192,4,2022,"2022-07-11 11:33:20",3.95,10.36,99.6,10.67,6.15,474,12,NA
"R",192,4,2022,"2022-07-11 09:25:20",64.81,NA,NA,7.52,6.4,2080,15,NA
"T",192,4,2022,"2022-07-11 12:08:20",10.96,0.88,7.5,5.89,4.74,734,9,NA
"L",194,4,2022,"2022-07-13 09:18:20",4.67,10.74,104,10.98,6.31,519,12,NA
"R",194,4,2022,"2022-07-13 08:52:20",88.95,12.71,114.8,8.06,6.52,2914,15,NA
"T",194,4,2022,"2022-07-13 10:01:20",20.54,0.83,7.2,6.17,4.95,1226,9,NA
"L",196,4,2022,"2022-07-15 09:09:20",3.23,10.98,106.7,11.1,6.34,475,12,NA
"R",196,4,2022,"2022-07-15 09:30:20",298.52,12.89,115.6,7.77,6.66,9448,15,NA
"T",196,4,2022,"2022-07-15 10:11:20",8.39,0.97,8.4,6.53,4.96,676,10,NA
"L",198,4,2022,"2022-07-17 09:17:20",7.47,10.57,103.4,11.41,6.37,561,12,NA
"R",198,4,2022,"2022-07-17 08:53:20",77.04,12.64,114.8,8.29,6.61,2613,15,NA
"T",198,4,2022,"2022-07-17 09:46:20",12.64,0.91,7.8,6.2,4.98,777,9,NA
"L",200,4,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R",200,4,2022,"2022-07-19 09:00:20",171.43,12.76,114.9,7.92,6.68,5668,15,NA
"T",200,4,2022,"2022-07-19 09:36:20",8.91,0.87,7.6,6.59,4.91,676,10,NA
"L",202,4,2022,"2022-07-21 11:38:20",11.81,10.7,106.3,12.07,6.26,714,12,NA
"R",202,4,2022,"2022-07-21 11:59:20",10.87,12.87,116.3,8.06,6.6,780,15,NA
"T",202,4,2022,"2022-07-21 12:32:20",19.04,0.78,6.8,6.3,4.85,1177,9,NA
"L",204,4,2022,"2022-07-23 09:30:20",2.99,10.75,107.2,12.26,6.41,409,12,NA
"R",204,4,2022,"2022-07-23 09:07:20",31.49,12.66,115.7,8.54,6.65,1136,15,NA
"T",204,4,2022,"2022-07-23 08:43:20",9.44,0.85,7.5,6.8,4.93,710,10,NA
"L",206,4,2022,"2022-07-25 10:44:20",5.48,10.81,107.1,11.98,6.22,474,12,NA
"R",206,4,2022,"2022-07-25 11:06:20",11.48,12.85,117.4,8.52,6.71,778,15,NA
"T",206,4,2022,"2022-07-25 10:23:20",11.47,0.77,6.7,6.7,4.86,988,9,NA
"L",210,4,2022,"2022-07-29 09:20:20",3.48,10.83,108.1,12.3,6.54,406,12,NA
"R",210,4,2022,"2022-07-29 08:58:20",18.28,12.71,116.4,8.62,6.77,922,15,NA
"T",210,4,2022,"2022-07-29 08:34:20",10.66,0.73,6.4,7.06,5.32,991,10,NA
"L",212,4,2022,"2022-07-31 13:03:20",3.62,10.06,101.5,12.76,6.41,406,12,NA
"R",212,4,2022,"2022-07-31 12:41:20",16.15,13.04,120.1,8.87,6.8,756,15,NA
"T",212,4,2022,"2022-07-31 12:14:20",9.54,0.79,6.9,6.97,4.99,915,10,NA
"L",213,4,2022,"2022-08-01 12:41:20",4.21,9.44,95.5,12.89,6.4,379,12,NA
"R",213,4,2022,"2022-08-01 12:13:20",22.54,12.68,119,9.65,6.7,883,15,NA
"T",213,4,2022,"2022-08-01 11:49:20",9.16,0.76,6.7,7.25,5.42,865,10,NA
"L",214,4,2022,"2022-08-02 09:57:20",3.89,10,101,12.8,6.47,394,12,NA
"R",214,4,2022,"2022-08-02 10:57:20",18.46,12.65,117.7,9.28,6.77,846,15,NA
"T",214,4,2022,"2022-08-02 10:31:20",9.57,0.71,6.3,7.05,5.14,880,9,NA
"L",216,4,2022,"2022-08-04 14:31:20",4.29,9.5,96.5,13.07,6.45,425,12,NA
"R",216,4,2022,"2022-08-04 14:08:20",18.41,12.61,118.7,9.77,6.72,773,15,NA
"T",216,4,2022,"2022-08-04 13:46:20",10.69,0.75,6.6,7.27,5.25,989,10,NA
"L",218,4,2022,"2022-08-06 12:22:20",4.46,8.99,91.5,13.16,6.37,402,12,NA
"R",218,4,2022,"2022-08-06 11:57:20",15.83,12.93,121,9.53,6.81,690,15,NA
"T",218,4,2022,"2022-08-06 11:30:20",9.62,0.74,6.5,7.25,5.09,846,10,NA
"L",220,4,2022,"2022-08-08 09:31:20",3.69,8.49,86.7,13.3,6.27,366,13,NA
"R",220,4,2022,"2022-08-08 09:57:20",13.07,12.39,117,9.92,6.78,671,15,NA
"T",220,4,2022,"2022-08-08 08:59:20",7.85,0.71,6.3,7.53,5.32,873,10,NA
"L",153,4.25,2022,"2022-06-02 09:11:50",9.95,5.84,50.7,6.25,5.8,619,12,NA
"R",153,4.25,2022,"2022-06-02 08:44:50",45.46,6.12,51.4,4.99,5.99,1924,15,NA
"T",153,4.25,2022,"2022-06-02 09:54:50",12.58,0.76,6.3,4.52,4.84,1270,11,NA
"L",154,4.25,2022,"2022-06-03 11:03:50",9.34,4.8,41.5,6.13,NA,619,12,"pH"
"R",154,4.25,2022,"2022-06-03 10:39:50",27.625,3.22,27,4.96,NA,1630,15,"pH"
"T",154,4.25,2022,"2022-06-03 11:35:50",10.79,0.74,6.1,4.52,NA,1099,10,"pH"
"L",155,4.25,2022,"2022-06-04 09:19:50",18.57,8.8,76.7,6.47,6.49,793,12,NA
"R",155,4.25,2022,"2022-06-04 08:55:50",19.78,9.02,76.4,5.32,6.61,1097,15,NA
"T",155,4.25,2022,"2022-06-04 08:29:50",14.03,0.72,6,4.61,NA,1550,10,"pH"
"L",156,4.25,2022,"2022-06-05 09:24:50",12.04,7.62,66.4,6.43,6.21,748,12,NA
"R",156,4.25,2022,"2022-06-05 09:02:50",24.85,4.35,36.5,5.01,6.24,1613,15,NA
"T",156,4.25,2022,"2022-06-05 08:36:50",11,0.46,3.8,4.57,NA,1364,10,"pH"
"L",157,4.25,2022,"2022-06-06 09:06:50",16.43,7.09,62,6.62,5.97,788,12,NA
"R",157,4.25,2022,"2022-06-06 09:30:50",41.77,3.39,28.4,4.88,6.16,1651,15,NA
"T",157,4.25,2022,"2022-06-06 08:39:50",12.18,0.47,3.9,4.62,4.98,1616,10,NA
"L",158,4.25,2022,"2022-06-07 09:33:50",10.57,6.18,54,6.53,6,326,12,NA
"R",158,4.25,2022,"2022-06-07 09:05:50",24.4,8.14,69,5.37,6.4,953,15,NA
"T",158,4.25,2022,"2022-06-07 08:40:50",13.79,0.44,3.7,4.57,5.06,1122,10,NA
"L",159,4.25,2022,"2022-06-08 08:57:50",8.98,6.83,59.9,6.7,6.09,581,12,NA
"R",159,4.25,2022,"2022-06-08 08:33:50",43.52,4.89,41.2,5.19,6.09,1934,15,NA
"T",159,4.25,2022,"2022-06-08 09:36:50",14.59,0.68,5.7,4.62,5.09,1393,10,NA
"L",160,4.25,2022,"2022-06-09 09:12:50",12.31,6.43,56.3,6.62,5.93,756,12,NA
"R",160,4.25,2022,"2022-06-09 09:39:50",33.94,4.83,40.6,5.03,6.14,1589,15,NA
"T",160,4.25,2022,"2022-06-09 10:26:50",13.19,0.56,4.6,4.6,4.89,1381,10,NA
"L",161,4.25,2022,"2022-06-10 11:24:50",10.04,8.09,71.3,6.89,6,664,12,NA
"R",161,4.25,2022,"2022-06-10 10:55:50",30.89,7.32,61.9,5.27,6.27,1172,15,NA
"T",161,4.25,2022,"2022-06-10 12:20:50",14.29,0.76,6.3,4.68,4.86,1344,10,NA
"L",162,4.25,2022,"2022-06-11 08:42:50",8.29,7.68,67.6,6.88,5.98,596,12,NA
"R",162,4.25,2022,"2022-06-11 12:20:50",24.32,9,76.5,5.45,6.38,1249,15,NA
"T",162,4.25,2022,"2022-06-11 12:58:50",19.49,0.72,6,4.7,4.95,2034,10,NA
"L",163,4.25,2022,"2022-06-12 09:55:50",10.42,7.15,63.1,6.93,5.92,731,12,NA
"R",163,4.25,2022,"2022-06-12 09:31:50",35.71,7.16,60.4,5.22,6.09,1665,15,NA
"T",163,4.25,2022,"2022-06-12 10:26:50",12.47,0.72,6,4.68,4.87,1294,10,NA
"L",164,4.25,2022,"2022-06-13 10:38:20",6.84,6.77,59.3,6.64,5.95,538,12,NA
"R",164,4.25,2022,"2022-06-13 11:15:50",39.39,11.49,98.4,5.76,6.6,2033,15,NA
"T",164,4.25,2022,"2022-06-13 10:08:50",15.84,0.72,6,4.79,4.88,1713,10,NA
"L",165,4.25,2022,"2022-06-14 09:53:50",7.19,7.22,63.9,7.08,6.04,670,12,NA
"R",165,4.25,2022,"2022-06-14 09:23:50",20.18,4.96,41.8,5.14,6.22,1363,15,NA
"T",165,4.25,2022,"2022-06-14 08:48:50",9.64,0.42,3.5,4.67,4.81,1096,10,NA
"L",166,4.25,2022,"2022-06-15 10:47:50",8.14,6.72,59.6,7.13,NA,397,12,"pH"
"R",166,4.25,2022,"2022-06-15 11:09:50",53.51,6.98,59.3,5.48,NA,1604,15,"pH"
"T",166,4.25,2022,"2022-06-15 11:43:50",12.61,0.7,5.8,4.61,NA,942,10,"pH"
"L",167,4.25,2022,"2022-06-16 09:41:50",6.75,7.74,69.1,7.37,NA,580,12,"pH"
"R",167,4.25,2022,"2022-06-16 10:04:50",20.93,4.65,39.4,5.37,NA,1227,15,"pH"
"T",167,4.25,2022,"2022-06-16 10:41:50",10.5,0.67,5.6,4.68,NA,1096,10,"pH"
"L",168,4.25,2022,"2022-06-17 07:35:50",6.01,7.79,69.3,7.27,NA,527,12,"pH"
"R",168,4.25,2022,"2022-06-17 07:58:50",32.7,6.95,59.1,5.49,NA,1468,15,"pH"
