"lake","doy","depth","year","date_time","chl_ugL","do_mgL","do_percent","temp","pH","phyco_cells","SPC","flag"
"L",171,0,2022,"2022-06-20 09:21:20",0,7.82,95.4,21.61,NA,254,10,"pH"
"R",171,0,2022,"2022-06-20 09:54:20",0,7.97,97.1,21.56,NA,258,12,"pH"
"T",171,0,2022,"2022-06-20 08:54:20",1.42,7.99,97.5,21.69,NA,314,8,"pH"
"L",172,0,2022,"2022-06-21 09:42:20",0,7.3,94.3,24.65,NA,258,10,"pH"
"R",172,0,2022,"2022-06-21 09:12:20",0.28,7.73,99.3,24.32,NA,298,12,"pH"
"T",172,0,2022,"2022-06-21 08:42:20",0.88,7.63,98.2,24.48,NA,0,9,"pH"
"L",173,0,2022,"2022-06-22 09:08:20",0.13,NA,NA,23.15,NA,317,10,"pH"
"R",173,0,2022,"2022-06-22 08:42:20",0.24,NA,NA,23.18,NA,300,12,"pH"
"T",173,0,2022,"2022-06-22 10:25:20",2.59,7.44,93.5,23.21,NA,303,9,"pH"
"L",174,0,2022,"2022-06-23 09:07:20",0,7.4,92.6,22.92,NA,269,10,"pH"
"R",174,0,2022,"2022-06-23 08:35:20",0.2,7.77,97.1,22.88,NA,345,12,"pH"
"T",174,0,2022,"2022-06-23 09:37:20",0.89,7.49,94.3,23.3,NA,698,9,"pH"
"L",175,0,2022,"2022-06-24 09:39:20",0,7.52,96.5,24.31,6.28,306,10,NA
"R",175,0,2022,"2022-06-24 09:12:20",0.03,7.51,96.1,24.14,6.28,289,12,NA
"T",175,0,2022,"2022-06-24 08:40:20",1.66,7.27,93.2,24.24,6.2,361,9,NA
"L",176,0,2022,"2022-06-25 08:16:20",0.36,7.44,95.8,24.48,6.35,296,10,NA
"R",176,0,2022,"2022-06-25 07:54:20",0.52,7.72,99.2,24.35,6.09,336,12,NA
"T",176,0,2022,"2022-06-25 07:29:20",3.43,7.21,93.1,24.63,5.95,372,8,NA
"L",177,0,2022,"2022-06-26 10:08:20",0.2,7.25,90.5,22.83,6.33,291,10,NA
"R",177,0,2022,"2022-06-26 09:41:20",0.59,7.79,96.8,22.64,6.05,248,12,NA
"T",177,0,2022,"2022-06-26 09:14:20",3.97,7.18,89.7,22.89,4.99,379,9,NA
"L",178,0,2022,"2022-06-27 08:38:20",0.08,7.72,92.5,20.76,4.93,353,NA,NA
"R",178,0,2022,"2022-06-27 09:34:20",0.14,8.14,97.5,20.71,6.01,329,NA,NA
"T",178,0,2022,"2022-06-27 09:06:20",1.4,7.78,93.2,20.71,6.17,1626,NA,NA
"L",179,0,2022,"2022-06-28 09:12:20",0.26,7.68,93.2,21.39,5.79,304,10,NA
"R",179,0,2022,"2022-06-28 08:44:20",0.06,7.91,96.1,21.39,5.91,328,12,NA
"T",179,0,2022,"2022-06-28 09:59:20",1.69,7.71,93.7,21.49,5.65,298,9,NA
"L",180,0,2022,"2022-06-29 09:20:20",0,7.65,92.5,21.15,5.86,316,10,NA
"R",180,0,2022,"2022-06-29 09:46:20",0.09,7.76,93.7,21.13,5.98,276,12,NA
"T",180,0,2022,"2022-06-29 08:44:20",2.3,7.76,93.3,20.95,5.11,377,9,NA
"L",181,0,2022,"2022-06-30 10:07:20",0.17,7.58,91.9,21.31,5.94,312,10,NA
"R",181,0,2022,"2022-06-30 09:43:20",0.68,8.02,96.8,21.1,5.97,353,12,NA
"T",181,0,2022,"2022-06-30 09:13:20",4.85,7.57,91.4,21.13,5.67,425,9,NA
"L",182,0,2022,"2022-07-01 10:15:20",0,8.34,103,22.51,6.52,250,10,NA
"R",182,0,2022,"2022-07-01 09:23:20",0.1,8.5,104.4,22.22,5.87,300,12,NA
"T",182,0,2022,"2022-07-01 08:54:20",1.6,8.37,102.5,22.04,6.05,25,9,NA
"L",183,0,2022,"2022-07-02 09:21:20",0,7.9,96.3,21.83,6.26,301,10,NA
"R",183,0,2022,"2022-07-02 08:51:20",0.51,8.35,101.6,21.73,6.12,363,12,NA
"T",183,0,2022,"2022-07-02 08:23:20",1.19,8.1,98.7,21.81,5.67,263,8,NA
"L",184,0,2022,"2022-07-03 10:54:20",0,8.1,100,22.5,6.35,281,11,NA
"R",184,0,2022,"2022-07-03 10:34:20",0.03,8.28,102.1,22.41,6.07,271,12,NA
